celex,readable_name,cluster_id,cluster_name
32004L0113,Gender Goods and Services Directive [Council Directive 2004/113/EC],19,Other
32004R0139,Merger Regulation [Council Regulation (EC) No 139/2004],19,Other
32004R0261,Flight Compensation Regulation [Regulation (EC) No 261/2004],19,Other
32004R0273,Regulation (EC) No 273/2004,19,Other
32004R0460,Regulation (EC) No 460/2004,19,Other
32004R0631,Regulation (EC) No 631/2004,19,Other
32004R0723,"Regulation (EC, Euratom) No 723/2004",19,Other
32004R0725,Ship and Port Facility Security Regulation [Regulation (EC) No 725/2004],19,Other
32004R0726,European Medicines Agency Regulation [Regulation (EC) No 726/2004],13,"Health, Medicines & Life Sciences"
32004R0785,Regulation (EC) No 785/2004,19,Other
32004R0794,Regulation (EC) No 794/2004,19,Other
32004R0805,European Enforcement Order Regulation [Regulation (EC) No 805/2004],19,Other
32004R0847,Regulation (EC) NO 847/2004,19,Other
32004R0851,ECDC Regulation [Regulation (EC) No 851/2004],13,"Health, Medicines & Life Sciences"
32004R0852,Food Hygiene Regulation [Regulation (EC) No 852/2004],19,Other
32004R0854,Regulation (EC) No 854/2004,19,Other
32004R0869,Regulation (EC) No 869/2004,19,Other
32004R0881,European Railway Agency Regulation [Regulation (EC) No 881/2004],19,Other
32004R0882,Official Controls Regulation [Regulation (EC) No 882/2004],19,Other
32004R1786,Regulation (EC) No 1786/2004,19,Other
32004R1935,Food Contact Materials Regulation [Regulation (EC) No 1935/2004],19,Other
32004R2006,CPC Regulation [Regulation (EC) No 2006/2004],7,Consumer Rights & Internal Market
32004R2007,Frontex Regulation [Regulation (EC) No 2007/2004],19,Other
32004R2252,Council Regulation (EC) No 2252/2004,19,Other
32005D0671,Decision 2005/671/JHA,9,Criminal Justice & Fundamental Rights
32005L0001,Directive 2005/1/EC,19,Other
32005L0020,Directive 2005/20/EC,19,Other
32005L0029,UCPD - Unfair Commercial Practices Directive [Directive 2005/29/EC],19,Other
32005L0035,Ship-Source Pollution Directive [Directive 2005/35/EC],19,Other
32005L0036,Professional Qualifications Directive [Directive 2005/36/EC],7,Consumer Rights & Internal Market
32005L0044,RIS Directive [Directive 2005/44/EC],11,Transport & Mobility
32005L0047,Directive 2005/47/EC,19,Other
32005L0056,Cross-Border Mergers Directive [Directive 2005/56/EC],19,Other
32005L0060,Directive 2005/60,19,Other
32005L0065,Directive 2005/65/EC,19,Other
32005L0085,Asylum Procedures Directive [Directive 2005/85/EC],19,Other
32005R0001,Animal Transport Regulation [Regulation (EC) No 1/2005],19,Other
32005R0111,Regulation (EC) No 111/2005,19,Other
32005R0396,Maximum Residue Levels Regulation [Regulation (EC) No 396/2005],19,Other
32005R0560,Regulation (EC) No 560/2005,19,Other
32005R0603,Regulation (EC) No 603/2005,19,Other
32005R0647,Regulation (EC) No 647/2005,19,Other
32005R0648,Regulation (EC) No 648/2005,19,Other
32005R0889,Regulation (EC) No 889/2005,19,Other
32005R1160,Regulation (EC) No 1160/2005,10,"Migration, Asylum & Border Management"
32005R1183,Regulation (EC) No 1183/2005,19,Other
32005R1290,Regulation 2005/1290,19,Other
32005R1552,Regulation (EC) No 1552/2005,19,Other
32005R1698,Rural Development Regulation [Regulation (EC) No 1698/2005],19,Other
32005R1889,Cash Controls Regulation [Regulation (EC) No 1889/2005],19,Other
32005R2074,Regulation (EC) No 2074/2005,19,Other
32005R2111,Air Carrier Black List Regulation [Regulation (EC) No 2111/2005],19,Other
32006L0001,Directive 2006/1/EC,19,Other
32006L0007,Bathing Water Directive [Directive 2006/7/EC],19,Other
32006L0012,Waste Framework Directive [Directive 2006/12/EC],19,Other
32006L0017,Commission Directive 2006/17/EC,19,Other
32006L0021,Mining Waste Directive [Directive 2006/21/EC],19,Other
32006L0024,Data Retention Directive [Directive 2006/24/EC] [no longer in force],19,Other
32006L0025,Artificial Optical Radiation Directive [Directive 2006/25/EC],19,Other
32006L0042,Machinery Directive 2006/42/EC [Directive 2006/42/EC] [repealed by Machinery Regulation (EU) 2023/1230],19,Other
32006L0043,Statutory Audit Directive [Directive 2006/43/EC],5,"Financial Markets, Investment & Capital"
32006L0046,Directive 2006/46/EC,19,Other
32006L0048,Capital Requirements Directive [Directive 2006/48/EC],19,Other
32006L0049,Capital Adequacy Directive [Directive 2006/49/EC],19,Other
32006L0054,Gender Equal Treatment in Employment Directive [Directive 2006/54/EC],19,Other
32006L0073,Directive 2006/73/EC,19,Other
32006L0086,Directive 2006/86/EC,19,Other
32006L0096,Directive 2006/96/EC,19,Other
32006L0097,Directive 2006/97/EC,19,Other
32006L0100,Directive 2006/100/EC,19,Other
32006L0103,Directive 2006/103/EC,19,Other
32006L0104,Directive 2006/104/EC,19,Other
32006L0105,Directive 2006/105/EC,19,Other
32006L0107,Directive 2006/107/EC,19,Other
32006L0112,VAT Directive [Council Directive 2006/112/EC],19,Other
32006L0115,Rental and Lending Rights Directive [Directive 2006/115/EC],19,Other
32006L0116,Copyright Term Directive [Directive 2006/116/EC],19,Other
32006L0123,Services Directive [Directive 2006/123/EC],7,Consumer Rights & Internal Market
32006L0126,Driving Licences Directive [Directive 2006/126/EC],19,Other
32006R0051,Regulation (EC) No 51/2006,19,Other
32006R0166,European Pollutant Release and Transfer Register Regulation [Regulation (EC) No 166/2006],19,Other
32006R0305,Regulation (EC) No 305/2006,19,Other
32006R0320,Regulation (EC) No 320/2006,19,Other
32006R0474,Regulation (EC) No 474/2006,19,Other
32006R0561,Driving Hours Regulation [Regulation (EC) No 561/2006],19,Other
32006R0562,Schengen Borders Code [Regulation (EC) No 562/2006],19,Other
32006R0629,Regulation (EC) No 629/2006,19,Other
32006R0805,Regulation (EC) No 805/2006,19,Other
32006R0816,Compulsory Licensing for Export Regulation [Regulation (EC) No 816/2006],8,Intellectual Property
32006R0842,F-Gas Regulation [Regulation (EC) No 842/2006],19,Other
32006R1013,Waste Shipment Regulation [Regulation (EC) No 1013/2006],19,Other
32006R1080,European Regional Development Fund Regulation [Regulation (EC) No 1080/2006],19,Other
32006R1107,Air Passenger Rights for Disabled Persons Regulation [Regulation (EC) No 1107/2006],11,Transport & Mobility
32006R1184,Regulation (EC) No 1184/2006,19,Other
32006R1198,European Fisheries Fund Regulation [Regulation (EC) No 1198/2006],19,Other
32006R1367,Aarhus Regulation [Regulation (EC) No 1367/2006],19,Other
32006R1717,Instrument for Stability Regulation [Regulation (EC) No 1717/2006],19,Other
32006R1791,Regulation (EC) No 1791/2006,19,Other
32006R1896,European Order for Payment Regulation [Regulation (EC) No 1896/2006],19,Other
32006R1901,Paediatric Regulation [Regulation (EC) No 1901/2006],19,Other
32006R1905,Development Cooperation Instrument Regulation [Regulation (EC) No 1905/2006],19,Other
32006R1907,REACH Regulation [Regulation (EC) No 1907/2006],19,Other
32006R1920,EMCDDA Regulation [Regulation (EC) No 1920/2006],19,Other
32006R1921,Regulation (EC) No 1921/2006,19,Other
32006R1922,European Institute for Gender Equality Regulation [Regulation (EC) No 1922/2006],15,EU Institutional Framework & Funding
32006R1967,Mediterranean Fisheries Regulation [Regulation (EC) No 1967/2006],19,Other
32006R1986,Regulation (EC) No 1986/2006,19,Other
32006R1987,SIS II Regulation [Regulation (EC) No 1987/2006],19,Other
32006R2038,Regulation (EC) No 1891/2006,19,Other
32007L0002,INSPIRE Directive [Directive 2007/2/EC],15,EU Institutional Framework & Funding
32007L0014,Directive 2007/14/EC,19,Other
32007L0036,Shareholders Rights Directive [Directive 2007/36/EC],19,Other
32007L0046,Motor Vehicles Type-Approval Framework Directive [Directive 2007/46/EC],19,Other
32007L0059,Train Drivers Directive [Directive 2007/59/EC],11,Transport & Mobility
32007L0060,Floods Directive [Directive 2007/60/EC],19,Other
32007L0064,PSD1 - First Payment Services Directive [Directive 2007/64/EC] [repealed by PSD2],19,Other
32007L0066,Directive 2007/66/EC,19,Other
32007R0041,Regulation (EC) No 41/2006,19,Other
32007R0168,Fundamental Rights Agency Regulation [Regulation (EC) No 168/2007],19,Other
32007R0378,Regulation (EC) No 378/2007,19,Other
32007R0520,Regulation (EC) No 520/2007,19,Other
32007R0631,Regulation (EC) No 631/2007,19,Other
32007R0658,Regulation (EC) No 658/2007,19,Other
32007R0715,Euro 5 and Euro 6 Regulation [Regulation (EC) No 715/2007],19,Other
32007R0717,Roaming Regulation [Regulation (EC) No 717/2007],19,Other
32007R0718,Regulation (EC) No 718/2007,19,Other
32007R0861,European Small Claims Procedure Regulation [Regulation (EC) No 861/2007],7,Consumer Rights & Internal Market
32007R0862,Regulation (EC) No 862/2007,19,Other
32007R0863,Rapid Border Intervention Teams Regulation [Regulation (EC) No 863/2007],19,Other
32007R0864,Rome II Regulation [Regulation (EC) No 864/2007],7,Consumer Rights & Internal Market
32007R1234,Single CMO Regulation [Regulation (EC) No 1234/2007],19,Other
32007R1371,Rail Passengers Rights Regulation [Regulation (EC) No 1371/2007],19,Other
32007R1393,Service of Documents Regulation [Regulation (EC) No 1393/2007],7,Consumer Rights & Internal Market
32007R1394,Advanced Therapy Medicinal Products Regulation [Regulation (EC) No 1394/2007],7,Consumer Rights & Internal Market
32007R1418,Regulation (EC) No 1418/2007,19,Other
32007R1430,Regulation (EC) No 1430/2007,19,Other
32007R1437,Regulation (EC) No 1437/2007,19,Other
32007R1445,Regulation (EC) No 1445/2007,15,EU Institutional Framework & Funding
32008D0615,Combating Terrorism Council Decision [Council Decision 2008/615/JHA],9,Criminal Justice & Fundamental Rights
32008D0616,Council Decision 2008/616/JHA,9,Criminal Justice & Fundamental Rights
32008D0633,Council Decision 2008/633/JHA,9,Criminal Justice & Fundamental Rights
32008F0909,Council Framework Decision 2008/909/JHA,9,Criminal Justice & Fundamental Rights
32008F0947,Council Framework Decision 2008/947/JHA,9,Criminal Justice & Fundamental Rights
32008F0977,Council Framework Decision 2008/977/JHA [repealed by LED 2016/680],15,EU Institutional Framework & Funding
32008L0001,IPPC Directive [Directive 2008/1/EC],19,Other
32008L0006,Postal Services Internal Market Directive [Directive 2008/6/EC],2,Platform Regulation & Digital Markets
32008L0022,Directive 2008/22/EC,19,Other
32008L0030,Directive 2008/30/EC,19,Other
32008L0048,Consumer Credit Directive [Directive 2008/48/EC],6,"Banking, Payments, Insurance & AML"
32008L0050,Ambient Air Quality Directive [Directive 2008/50/EC],19,Other
32008L0051,Directive 2008/51/EC,19,Other
32008L0052,Mediation Directive [Directive 2008/52/EC],19,Other
32008L0056,Marine Strategy Framework Directive [Directive 2008/56/EC],19,Other
32008L0073,Directive 2008/73/EC,19,Other
32008L0094,Insolvency Protection Directive [Directive 2008/94/EC],19,Other
32008L0099,Environmental Crime Directive [Directive 2008/99/EC],19,Other
32008L0104,Temporary Agency Work Directive [Directive 2008/104/EC],19,Other
32008L0115,Returns Directive [Directive 2008/115/EC],19,Other
32008L0119,Calves Directive [Council Directive 2008/119/EC],19,Other
32008L0120,Directive 2008/120/EC,19,Other
32008L0122,Timeshare Directive [Directive 2008/122/EC],7,Consumer Rights & Internal Market
32008R0110,Spirit Drinks Regulation [Regulation (EC) No 110/2008],19,Other
32008R0180,Regulation (EC) No 180/2008,19,Other
32008R0213,Regulation (EC) No 213/2008,19,Other
32008R0216,EASA Basic Regulation [Regulation (EC) No 216/2008],19,Other
32008R0259,Regulation (EC) No 259/2008,19,Other
32008R0294,European Institute of Innovation and Technology Regulation [Regulation (EC) No 294/2008],19,Other
32008R0300,Aviation Security Regulation [Regulation (EC) No 300/2008],19,Other
32008R0331,Regulation (EC) No 331/2008,19,Other
32008R0361,Regulation (EC) No 361/2008,19,Other
32008R0450,Modernised Customs Code [Regulation (EC) No 450/2008],19,Other
32008R0451,Regulation (EC) No 451/2008,19,Other
32008R0452,Regulation (EC) No 452/2008,15,EU Institutional Framework & Funding
32008R0479,Regulation (EC) No 479/2008,19,Other
32008R0543,Regulation (EC) No 543/2008,19,Other
32008R0593,Rome I Regulation [Regulation (EC) No 593/2008],19,Other
32008R0737,Regulation (EC) No 737/2008,19,Other
32008R0740,Regulation (EC) No 740/2008,19,Other
32008R0755,Regulation (EC) No 755/2008,19,Other
32008R0762,Regulation (EC) No 762/2008,19,Other
32008R0765,Accreditation and Market Surveillance Regulation [Regulation (EC) No 765/2008],7,Consumer Rights & Internal Market
